areaprot,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
AREA_KM2,AT	83944 	83944 	83944 	83944 	83944 	83944 	83944 	83944 	83944 
AREA_KM2,BE	30667 	30667 	30667 	30667 	30667 	30667 	30667 	30667 	30667 
AREA_KM2,BG	110995 	110995 	110995 	110995 	110995 	110995 	110995 	110995 	110995 
AREA_KM2,CY	5736 	5736 	5736 	5736 	5736 	5736 	5736 	5736 	5736 
AREA_KM2,CZ	78874 	78874 	78874 	78874 	78874 	78874 	78874 	78874 	78874 
AREA_KM2,DE	358265 	358265 	358265 	358265 	358265 	358265 	358265 	358265 	358265 
AREA_KM2,DK	43167 	43167 	43167 	43167 	43167 	43167 	43167 	43167 	43167 
AREA_KM2,EE	45325 	45325 	45325 	45325 	45325 	45325 	45325 	45325 	45325 
AREA_KM2,EL	132026 	132026 	132026 	132026 	132026 	132026 	132026 	132026 	132026 
AREA_KM2,ES	505983 	505983 	505983 	505983 	505983 	505983 	505983 	505983 	505983 
AREA_KM2,EU27_2020	4132405 	4132405 	4132405 	4132405 	4132405 	4132405 	4132405 	: 	: 
AREA_KM2,EU28	4376978 	4376978 	4376978 	4376978 	4376978 	4376978 	4376978 	: 	: 
AREA_KM2,FI	337547 	337547 	337547 	337547 	337547 	337547 	337547 	337547 	337547 
AREA_KM2,FR	548936 	548936 	548936 	548936 	548936 	548936 	548936 	548936 	548936 
AREA_KM2,HR	56430 	56430 	56430 	56430 	56430 	56430 	56430 	: 	: 
AREA_KM2,HU	93013 	93013 	93013 	93013 	93013 	93013 	93013 	93013 	93013 
AREA_KM2,IE	69946 	69946 	69946 	69946 	69946 	69946 	69946 	69946 	69946 
AREA_KM2,IT	300578 	300578 	300578 	300578 	300578 	300578 	300578 	300578 	300578 
AREA_KM2,LT	64899 	64899 	64899 	64899 	64899 	64899 	64899 	64899 	64899 
AREA_KM2,LU	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 
AREA_KM2,LV	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 
AREA_KM2,MT	315 	315 	315 	315 	315 	315 	315 	315 	315 
AREA_KM2,NL	37382 	37382 	37382 	37382 	37382 	37382 	37382 	37382 	37382 
