unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
I00,AT	: 	63.70 	56.30 	60.40 	58.20 	62.70 	58.60 	62.50 	68.70 	67.30 	70.30 	74.10 	79.80 	82.10 	84.90 	92.40 	90.10 	87.70 	93.20 	91.80 	99.10 	102.40 	100.00 	: 	: 	: 	: 	: 	: 	: 	: 
I00,BE	: 	53.67 	56.26 	58.91 	61.60 	64.33 	67.07 	69.75 	72.52 	75.39 	78.15 	80.59 	82.20 	83.09 	83.96 	85.55 	87.86 	90.42 	93.26 	96.44 	100.00 	103.91 	108.17 	112.70 	117.61 	122.97 	128.80 	135.05 	141.74 	148.94 	156.75 
I00,CH	: 	91.63 	93.59 	86.84 	88.43 	100.17 	99.95 	98.73 	107.60 	95.72 	92.58 	94.63 	88.52 	101.10 	89.92 	98.52 	98.79 	92.99 	89.74 	98.58 	100.00 	97.32 	83.58 	92.37 	105.08 	106.58 	104.57 	107.35 	105.30 	97.89 	109.98 
I00,CY	: 	: 	: 	104.00 	122.00 	112.00 	80.00 	113.00 	86.00 	84.00 	76.00 	62.00 	70.00 	81.00 	100.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I00,CZ	: 	62.25 	67.12 	70.37 	72.20 	73.16 	74.19 	74.48 	75.03 	77.17 	81.63 	86.68 	89.57 	89.97 	93.40 	100.65 	107.22 	107.31 	105.84 	103.07 	100.00 	100.11 	106.80 	119.81 	134.44 	143.06 	142.95 	139.02 	132.97 	124.60 	115.22 
I00,DE	: 	: 	: 	: 	84.37 	80.97 	79.48 	80.28 	86.55 	80.33 	86.98 	90.30 	91.77 	94.88 	94.85 	94.80 	98.57 	94.60 	96.02 	95.64 	100.00 	104.86 	96.44 	99.20 	104.92 	103.00 	105.64 	98.83 	97.79 	99.36 	103.52 
I00,DK	: 	71.86 	74.35 	79.61 	82.25 	84.25 	85.75 	79.31 	77.95 	79.26 	86.00 	93.62 	83.44 	84.36 	88.09 	85.58 	92.52 	90.96 	93.68 	103.74 	100.00 	104.04 	101.23 	103.03 	108.01 	108.58 	110.08 	108.17 	108.43 	116.50 	125.73 
I00,EE	: 	58.92 	66.53 	62.33 	71.77 	81.56 	86.32 	82.41 	77.17 	82.31 	84.47 	91.74 	86.40 	101.19 	102.91 	96.59 	93.26 	103.50 	108.72 	97.47 	100.00 	89.55 	100.00 	105.61 	99.13 	91.15 	95.51 	107.14 	107.74 	108.90 	116.09 
I00,EL	: 	: 	: 	: 	97.38 	62.71 	89.48 	64.43 	74.80 	86.13 	77.30 	90.82 	92.77 	100.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
I00,ES	: 	: 	: 	77.00 	76.00 	75.00 	71.00 	72.00 	75.00 	83.00 	84.00 	85.00 	84.20 	86.00 	87.10 	89.50 	91.80 	87.50 	95.10 	99.80 	100.00 	96.20 	91.40 	: 	: 	: 	: 	: 	: 	: 	: 
