indic_env,hazard,unit,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
CONS,ENV,MIO_T,EU27_2020	79.3 	75.7 	74.3 	75.1 	77.7 	80.4 	80.0 	79.9 	84.6 	86.4 	76.1 	92.4 	91.0 	87.0 	88.9 	83.9 
CONS,ENV_CHR,MIO_T,EU27_2020	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
CONS,ENV_MODCHR,MIO_T,EU27_2020	26.2 	26.2 	28.3 	24.6 	24.6 	25.6 	27.6 	26.6 	27.6 	27.0 	24.9 	27.3 	30.6 	29.0 	29.0 	30.7 
CONS,ENV_SEVCHR,MIO_T,EU27_2020	19.2 	17.8 	14.1 	19.3 	24.1 	25.7 	25.4 	24.9 	26.9 	26.1 	23.4 	24.4 	26.8 	25.8 	26.1 	24.7 
CONS,ENV_SGNACU,MIO_T,EU27_2020	11.4 	8.4 	7.5 	7.2 	6.0 	5.7 	5.5 	5.3 	6.9 	8.8 	6.1 	13.5 	8.3 	7.3 	7.3 	2.1 
CONS,ENV_SGNCHR,MIO_T,EU27_2020	22.5 	23.3 	24.4 	24.1 	23.0 	23.5 	21.5 	23.1 	23.2 	24.4 	21.7 	27.1 	25.3 	24.9 	26.5 	26.4 
CONS,HAZ,MIO_T,EU27_2020	219.0 	218.1 	217.5 	212.7 	216.2 	220.3 	216.2 	217.3 	223.0 	233.0 	204.0 	239.0 	251.3 	243.7 	249.1 	241.6 
CONS,HAZ_NHAZ,MIO_T,EU27_2020	298.0 	299.3 	297.5 	290.8 	292.5 	294.9 	289.9 	292.6 	295.5 	306.2 	268.0 	310.2 	334.0 	323.0 	327.2 	317.0 
CONS,HLTH,MIO_T,EU27_2020	218.5 	217.6 	216.8 	212.1 	215.9 	220.0 	215.9 	216.8 	222.4 	232.4 	203.5 	238.6 	251.0 	243.5 	248.9 	241.4 
CONS,HLTH_CHRTOX,MIO_T,EU27_2020	22.3 	21.0 	19.0 	17.3 	20.8 	23.3 	22.4 	22.1 	21.2 	22.5 	21.0 	26.4 	24.5 	23.7 	23.0 	23.6 
CONS,HLTH_CMR,MIO_T,EU27_2020	30.4 	29.5 	30.0 	34.5 	35.7 	36.2 	37.2 	36.8 	41.7 	41.1 	36.3 	37.2 	43.4 	41.3 	42.9 	42.6 
CONS,HLTH_HRM,MIO_T,EU27_2020	59.1 	61.1 	60.7 	60.2 	60.9 	61.9 	60.0 	62.1 	62.5 	64.2 	55.0 	62.7 	68.5 	66.9 	68.1 	69.0 
CONS,HLTH_TOX,MIO_T,EU27_2020	43.8 	44.3 	45.6 	43.0 	42.3 	42.1 	42.1 	42.9 	42.9 	43.3 	38.5 	44.2 	47.4 	47.8 	48.9 	47.5 
CONS,HLTH_VTOX,MIO_T,EU27_2020	63.0 	61.7 	61.5 	57.0 	56.2 	56.5 	54.3 	53.0 	54.2 	61.2 	52.7 	68.0 	67.2 	63.8 	66.0 	58.7 
PRD,ENV,MIO_T,EU27_2020	82.7 	81.8 	84.6 	77.7 	75.6 	77.7 	79.2 	79.3 	83.0 	85.3 	76.0 	91.1 	88.9 	86.1 	88.0 	82.9 
PRD,ENV_CHR,MIO_T,EU27_2020	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PRD,ENV_MODCHR,MIO_T,EU27_2020	24.9 	25.3 	27.7 	23.9 	23.9 	24.6 	26.7 	25.8 	26.5 	26.3 	24.5 	26.1 	29.1 	28.3 	28.2 	29.8 
PRD,ENV_SEVCHR,MIO_T,EU27_2020	24.4 	25.4 	25.4 	22.7 	22.8 	24.0 	25.5 	25.3 	26.7 	25.8 	23.4 	24.2 	26.6 	25.8 	26.0 	24.5 
PRD,ENV_SGNACU,MIO_T,EU27_2020	11.3 	8.3 	7.4 	7.1 	5.9 	5.6 	5.5 	5.2 	6.8 	8.8 	6.1 	13.5 	8.2 	7.2 	7.2 	2.0 
PRD,ENV_SGNCHR,MIO_T,EU27_2020	22.2 	22.9 	24.2 	24.0 	22.9 	23.6 	21.5 	23.0 	23.0 	24.4 	22.0 	27.3 	25.0 	24.7 	26.5 	26.5 
